department,class_group,class_subgroup,class_subsubgroup,class_id,class_number,class_champion,tochampion_id,class_title,class_description,session_id,program_order,age_min,age_max,trophy,trophy,trophy
Dogs,Obedience,Traditional,,c817,,TRUE,,"Grand Champion Obedience, Traditional",,dogs5,16,,,,,
Dogs,Scent Work,,,c862,862,,c864,Scent Work Novice: Container,,dogs6,1,,,,,
Dogs,Scent Work,,,c863,863,,c864,Scent Work Novice: Buried,,dogs6,2,,,,,
Dogs,Scent Work,,,c864,,TRUE,,Champion Scent Work,,dogs6,3,,,,,
Dogs,Agility,Traditional,,c830,830,,c833,Young Beginners Dog Agility,,dogs7,1,5,8,,,
Dogs,Agility,Traditional,,c831,831,,c833,Beginners Dog Agility,,dogs7,2,,,,,
Dogs,Agility,Traditional,,c832,832,,c833,Advanced Beginners Dog Agility,,dogs7,3,,,,,
Dogs,Agility,Traditional,,c833,,TRUE,,Champion Beginner Agility,,dogs7,4,,,,,
Dogs,Agility,Traditional,,c835,835,,c840,Intermediate Agility,,dogs7,5,,,,,
Dogs,Agility,Traditional,,c836,836,,c840,Advanced Intermediate Agility,,dogs7,6,,,,,
Dogs,Agility,Traditional,,c837,837,,c840,Excellent Agility,,dogs7,7,,,,,
Dogs,Agility,Traditional,,c838,838,,c840,Advanced Excellent Agility,,dogs7,8,,,,,
Dogs,Agility,Traditional,,c839,839,,c840,Veternas Agility,,dogs7,9,,,,,
Dogs,Agility,Traditional,,c840,,TRUE,,Grand Champion Agility,,dogs7,10,,,,,
Dogs,Agility and Performance,,,c866,,TRUE,,Title Rosette,Exhibitors that have qualified three times in each class/element.,dogs7,,,,,,
