department,class_group,class_subgroup,class_subsubgroup,class_id,class_number,class_champion,tochampion_id,class_title,class_description,champion_selection,session_id,program_order,age_min,age_max,trophy
Beef,Breeding,Any Other Registered Breed,,c148,148,,c151,Any Other Registered Breed Yearling Heifer,,,beef,62,,,
Beef,Breeding,Any Other Registered Breed,,c149,149,,c151,Any Other Registered Breed Cow,,,beef,64,,,
Beef,Breeding,Any Other Registered Breed,,c150,150,,c151,Any Other Registered Breed Cow and Calf,,,beef,66,,,
Beef,Breeding,Any Other Registered Breed,,c151,,TRUE,c157,"Champion Female, Any Other Registered Breed",,,beef,68,,,"Champion: Bruce E. Pastryk Memorial Trophy (be64r)
Reserve Champion: Michael G. Kuhn Memorial Trophy (be65r)"
Beef,Breeding,Commercial Beef,,c153,153,,c155,Commercial Beef Female Heifer,,,beef,69,,,
Beef,Breeding,Commercial Beef,,c154,154,,c155,Commercial Beef Female Cow and Calf,,,beef,70,,,
Beef,Breeding,Commercial Beef,,c155,,TRUE,c157,Champion Commercial Beef Female,,,beef,71,,,"Champion: Krieger Simmental Farm Trophy (be29c)
Reserve Champion: Scott Brunke Trophy (be37r)"
Beef,Breeding,Grand Champion,,c157,,TRUE,,Grand Champion Beef Female,,,beef,72,,,"Champion: Megan & Kylie Brunke Trophy (be26r)
Reserve Champion: Bruce Foster Trophy (be27r)
Third Place: Al & Lori Wesner Trophy (be57r)
Fourth Place: Robert & Diana Brunke Trophy (be56r)
Fifth Place: Kaminski Farms Trophy (be61r)"
Beef,Market,Feeder Calves,,c162,162,,c171,British Beef Feeder Calf,"All Angus, Herefords, and Shorthorns",,beef,73,,,"Champion: YellowGateFarm,Gary/Bonnie Rehmel Trophy (be42r)
Reserve Champion: InLovingMemory of Aunt Lisa Bloom Trophy (be43r)"
Beef,Market,Feeder Calves,,c165,165,,c171,All Other Breeds Beef Feeder Calf,,,beef,74,,,"Champion: TCG Cattle Company Trophy (be41c)
Reserve Champion: Kate Jasper Trophy (be44r)"
Beef,Market,Feeder Calves,,c168,168,,c171,Dairy Feeder Calf,100% Dairy Breeding,,beef,75,,,"Champion: The Terry Koebel Family Trophy (be45r)
Reserve Champion: Roberts Dairy Trophy (be17r)"
Beef,Market,Feeder Calves,,c171,,TRUE,,Grand Champion Feeder Calf,,,beef,76,,,"Champion: Megan Brunke Trophy (be51r)
Reserve Champion: Thomas Durm Trophy (be54r)"
Beef,Market,Steers,,c176,176,,c200,Shorthorn Market Steer,50% Shorthorn,,beef,77,,,"Champion: Jim/Barbara Hopkins Trophy (be03c)
Reserve Champion: DKT Livestock Trophy, Klopfenstein Family (be50a)"
Beef,Market,Steers,,c179,179,,c200,Hereford Market Steer,100% Hereford,,beef,78,,,"Champion: Tom Walton Trophy (be05r)
Reserve Champion: Ralph & Margaret Swartz Memorial Trophy (be11r)"
Beef,Market,Steers,,c182,182,,c200,Angus Market Steer,100% Angus,,beef,79,,,"Champion: Dr. Duane Ullrey Memorial Trophy (be07r)
Reserve Champion: Wesner Angus Farm Trophy (be46r)"
Beef,Market,Steers,,c185,185,,c200,Simmental Market Steer,50% or more Simmental,,beef,80,,,"Champion: Mark Krieger Trophy (be08c)
Reserve Champion: David Gotsch Trophy (be55r)"
Beef,Market,Steers,,c188,188,,c200,Chianina Market Steer,,,beef,81,,,"Champion: Doug Clark Mem. Trophy (be40r)
Reserve Champion: Megan Elizabeth Brunke Trophy (be47r)"
Beef,Market,Steers,,c191,191,,c200,Crossbred Market Steer,50% or more beef breeding,,beef,82,,,"Champion: Cuthbert Tractor Sales Trophy (be06c)
Reserve Champion: In Memory of Howard Sherwood Trophy (be48r)"
Beef,Market,Steers,,c194,194,,c200,Dairy Market Steer,100% Dairy,,beef,83,,,"Champion: Shuler & Sons Farms Trophy (be09r)
Reserve Champion: Strefling Grain Trophy (be04r)"
Beef,Market,Heifers,,c197,197,,c200,Market Heifer,100% Beef Bred,,beef,84,,,"Champion: Don Payne Family Trophy (be10r)
Reserve Champion: DKT Livestock Trophy (be49a)"
Beef,Market,Grand Champion,,c200,,TRUE,,Grand Champion Market Beef Animal,,,beef,85,,,"Champion: Bruce Dale Foster Trophy (be01r)
Reserve Champion: Dale Seyfred Trophy (be02c) 
Third Place: Steve Rogers Family Trophy (be60r)
Fourth Place: Adam, Kevin & Erica Mitchell Trophy (be59r)
Fifth Place: Eric & Heather Lentz Trophy (be58r)"
Beef,Rate of Gain,,,c205,,,c213,Shorthorn Rate of Gain,,,beef,,,,Beef Barn Memorials Trophy (be16r)
Beef,Rate of Gain,,,c206,,,c213,Hereford Rate of Gain,,,beef,,,,Jannert Polled Hereford Farm Trophy (be18r)
Beef,Rate of Gain,,,c207,,,c213,Angus Rate of Gain,,,beef,,,,Brian & Kelly Dargus Trophy (be19r)
Beef,Rate of Gain,,,c208,,,c213,Simmental Rate of Gain,,,beef,,,,Durm Family Trophy (be21c)
Beef,Rate of Gain,,,c209,,,c213,Chianina Rate of Gain,,,beef,,,,DKT Livestock Trophy - Klopfenstein Family (be52a)
Beef,Rate of Gain,,,c210,,,c213,Crossbred Rate of Gain,,,beef,,,,Billy & Tracy Donner Family Farm Trophy (be20r)
Beef,Rate of Gain,,,c211,,,c213,Dairy Steer Rate of Gain,,,beef,,,,Hill-Milt Farm Trophy (be22c)
Beef,Rate of Gain,,,c212,,,c213,Market Heifer Rate of Gain,,,beef,,,,"Zeilke Brothers Farm Trophy (be23r) "
Beef,Rate of Gain,,,c213,,TRUE,,Champion Overall Beef Rate of Gain,,,beef,,,,"Champion: Pam Lawrick & Mark Koebel Trophy (be24c) Banner
Reserve Champion: Green Meadow Farm Trophy (be25c) Banner"
