department,class_group,class_subgroup,class_subsubgroup,class_id,class_number,class_champion,tochampion_id,class_title,class_description,session_id,program_order,program_order,age_min,age_max,trophy
Equine,Fitting and Showmanship,Senior,,c1061,,TRUE,,Grand Champion Showmanship,,equine2,Tuesday,15,,,
Equine,Fitting and Showmanship,Junior,,c1063,1063,,,"Fitting and Showmanship, Walk only Exhibitor",,equine3,Tuesday,1,5,8,
Equine,Fitting and Showmanship,Junior,,c1064,1064,,,"Fitting and Showmanship, Saddle Seat Type English Horse",,equine3,Tuesday,2,5,13,
Equine,Fitting and Showmanship,Junior,,c1065,1065,,,"Fitting and Showmanship, Hunt Type Horses",,equine3,Tuesday,3,5,11,
Equine,Fitting and Showmanship,Junior,,c1066,1066,,,"Fitting and Showmanship, Hunt Type Horses",,equine3,Tuesday,4,12,13,
Equine,Fitting and Showmanship,Junior,,c1067,1067,,,"Fitting and Showmanship, Western Horses",,equine3,Tuesday,5,5,7,
Equine,Fitting and Showmanship,Junior,,c1068,1068,,,"Fitting and Showmanship, Western Horses",,equine3,Tuesday,6,8,10,
Equine,Fitting and Showmanship,Junior,,c1069,1069,,,"Fitting and Showmanship, Western Horses",,equine3,Tuesday,7,11,12,
Equine,Fitting and Showmanship,Junior,,c1070,1070,,,"Fitting and Showmanship, Western Horses",,equine3,Tuesday,8,13,13,
Equine,Fitting and Showmanship,Junior,,c1071,1071,,,"Fitting and Showmanship, Western and English Ponies and Miniature Horses",,equine3,Tuesday,9,5,6,
Equine,Fitting and Showmanship,Junior,,c1072,1072,,,"Fitting and Showmanship, Western and English Ponies and Miniature Horses",,equine3,Tuesday,10,7,8,
Equine,Fitting and Showmanship,Junior,,c1073,1073,,,"Fitting and Showmanship, Western and English Ponies and Miniature Horses",,equine3,Tuesday,11,9,10,
Equine,Fitting and Showmanship,Junior,,c1074,1074,,,"Fitting and Showmanship, Western and English Ponies and Miniature Horses",,equine3,Tuesday,12,11,13,
Equine,Fitting and Showmanship,Junior,,c1075,1075,,,"Fitting and Showmanship, Gynkhana Horses and Ponies",,equine3,Tuesday,13,6,13,
Equine,Fitting and Showmanship,Junior,,c1076,1076,,,"Fitting and Showmanship, Novice, English or Western",Exhibitors ages 5 to 13.  For those who have not placed first through 6th in any Fitting and Showmanship class in any previous BCYF.,equine3,Tuesday,14,5,13,
Equine,Fitting and Showmanship,Junior,,c1077,1077,,,Fitting and Showmanship Ranch Horse,,equine3,Tuesday,15,5,13,
Equine,Fitting and Showmanship,Junior,,c1078,,TRUE,,Junior Championship Western Showmanship,,equine3,Tuesday,16,,,
Equine,Fitting and Showmanship,Junior,,c1080,,TRUE,,Junior Championship Western Showmanshup,,equine3,Tuesday,17,,,
Equine,Fitting and Showmanship,Junior,,c1082,,TRUE,,Junior Champion English Horse Showmanship,,equine3,Tuesday,18,,,
Equine,Ranchmanship,,,c1085,1085,,,Junior Ranchmanship,,equine3,Tuesday,19,5,13,
Equine,Ranchmanship,,,c1086,1086,,,Senior Ranchmanship,,equine3,Tuesday,20,14,20,
Equine,Ranch Trail,,,c1087,1087,,,Junior Ranch Trail,,equine3,Tuesday,21,5,13,
Equine,Ranch Trail,,,c1088,1088,,,Senior Ranch Trail,,equine3,Tuesday,22,14,20,
Equine,English Riding,Senior,Saddle Seat,c1090,1090,,,"Saddle Seat Equitation, Horses and Ponies",,equine4,Wednesday,1,14,20,
Equine,English Riding,Senior,Saddle Seat,c1091,,TRUE,,Senior Champion Saddle Seat Equitation,,equine4,Wednesday,2,,,
Equine,English Riding,Senior,Hunt Seat,c1094,1094,,,"Hunt Seat Equitation on the Flat, Horses and Ponies",,equine4,Wednesday,3,14,15,
Equine,English Riding,Senior,Hunt Seat,c1095,1095,,,"Hunt Seat Equitation on the Flat, Horses and Ponies",,equine4,Wednesday,4,16,17,
Equine,English Riding,Senior,Hunt Seat,c1096,1096,,,"Hunt Seat Equitation on the Flat, Horses and Ponies",,equine4,Wednesday,5,18,20,
Equine,English Riding,Senior,Walk/Trot,c1097,1097,,,"English Equitation, Horses and Ponies, Walk/Trot",,equine4,Wednesday,6,14,20,
