department,class_group,class_subgroup,class_subsubgroup,class_id,class_number,class_champion,tochampion_id,class_title,class_description,session_id,program_order,program_order,age_min,age_max,trophy
Equine,Gymkhana,BCYF Flags,,c1306,1306,,,BCYF Flags Horses & Ponies,,equine12,Wednesday,40,17,20,
Equine,Gymkhana,,,c1307,,TRUE,,Champion Contest Horse or Pony,,equine12,Wednesday,41,14,16,
Equine,Gymkhana,,,c1309,,TRUE,,Champion Contest Horse or Pony,,equine12,Wednesday,42,17,20,
Equine,Gymkhana,Down & Back,,c1311,1311,,,Down & Back Ponies Walk/Trot,,equine13,Saturday,1,5,9,
Equine,Gymkhana,Down & Back,,c1312,1312,,,Down & Back Horses Walk/Trot,,equine13,Saturday,2,5,9,
Equine,Gymkhana,Speed 'N Action,,c1313,1313,,,Speed 'N Action Ponies,,equine13,Saturday,3,6,13,
Equine,Gymkhana,Speed 'N Action,,c1314,1314,,,Speed 'N Action Horses,,equine13,Saturday,4,6,13,
Equine,Gymkhana,Keyhole,,c1315,1315,,,Keyhole Ponies,,equine13,Saturday,5,6,13,
Equine,Gymkhana,Keyhole,,c1316,1316,,,Keyhole Horses,,equine13,Saturday,6,6,13,
Equine,Gymkhana,Pole Bending,,c1317,1317,,,Pole Bending Ponies,,equine13,Saturday,7,6,13,
Equine,Gymkhana,Pole Bending,,c1318,1318,,,Pole Bending Horses,,equine13,Saturday,8,6,13,
Equine,Gymkhana,Stakes Race,,c1319,1319,,,Stakes Race Ponies,,equine13,Saturday,9,6,13,
Equine,Gymkhana,Stakes Race,,c1320,1320,,,Stakes Race Horses & Ponies,,equine13,Saturday,10,6,13,
Equine,Gymkhana,,,c1321,,TRUE,,Champion Contest Pony,,equine13,Saturday,11,6,13,
Equine,Gymkhana,,,c1323,,TRUE,,Champion Contest Horse,,equine13,Saturday,12,6,13,
Equine,Gymkhana,,,c1325,,TRUE,,Grand Champion Overal Gymkhana,,equine13,Saturday,13,,,
Equine,Costume,,,c1335,1335,,,Costume Class,,equine13,,,5,20,
Equine,Costume,,,c1336,,TRUE,,Best Costume,,equine13,,,,,
Equine,Fitting and Showmanship,PEP,,c1350,1350,,,PEP Showmanship Class A,,equine14,Saturday,1,,,
Equine,Fitting and Showmanship,PEP,,c1351,1351,,,PEP Showmanship Class B,,equine14,Saturday,2,,,
Equine,Fitting and Showmanship,PEP,,c1352,1352,,,PEP Showmanship Class C,,equine14,Saturday,3,,,
Equine,Fitting and Showmanship,PEP,,c1353,1353,,,PEP Showmanship Class D,,equine14,Saturday,4,,,
Equine,Fitting and Showmanship,PEP,,c1354,,TRUE,,Champion PEP Showmanship,,equine14,Saturday,5,,,
Equine,Riding,PEP,,c1356,1356,,,PEP Horseback Riding Class A,,equine14,Saturday,6,,,
Equine,Riding,PEP,,c1357,1357,,,PEP Horseback Riding Class B,,equine14,Saturday,7,,,
Equine,Riding,PEP,,c1358,1358,,,PEP Horseback Riding Class C,,equine14,Saturday,8,,,
Equine,Riding,PEP,,c1359,1359,,,PEP Horseback Riding Class D,,equine14,Saturday,9,,,
Equine,Riding,PEP,,c1360,,TRUE,,Grand Champion PEP Horseback Riding,,equine14,Saturday,10,,,
